[ 2013-04-22T00:00:48+08:00 ] /attendance/teacher.php/Notice/sendmail/data/%7B%22classNotice-checkbox%22:%22on%22,%22grade%22:%222009%22,%22familyid%22:1,%22classid%22:2,%22noticeClassTitle%22:%22fsad%22,%22noticeClassContent%22:%22fas%22%7D | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --START--
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | INFO: Run CheckRoute Behavior [ RunTime:0.000744s ]
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000831s ]
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000475s ]
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000523s ]
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.002121s ]
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | SQL: SELECT `notice`.`id` AS `id`, `notice`.`name` AS `name`, `notice`.`content` AS `content`, `notice`.`teacherid` AS `teacherid`, `notice`.`time` AS `time`, `notice`.`studentid` AS `studentid`, `notice`.`status` AS `status`, `notice`.`isAll` AS `isAll`, `teacher`.`name` AS `teachername`, `student`.`name` AS `studentname`, `student`.`number` AS `studentnumber` FROM `notice` LEFT JOIN `student` ON `student`.`number`=`notice`.`studentid` LEFT JOIN `teacher` ON `teacher`.`number`=`notice`.`teacherid` WHERE `notice`.`teacherid`='144200' ORDER BY `notice`.`id` DESC LIMIT 0, 20 [ RunTime:0.043864s ]
[ 2013-04-22T00:00:49+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560049127&page=1&start=0&limit=20 | SQL: SELECT * FROM `notice` WHERE `notice`.`studentid`=144200  [ RunTime:0.001114s ]
