[ 2013-04-21T13:36:56+08:00 ] /attendance/teacher.php/Lib/getSeatGrade?_dc=1366522616917&query=2%2C2012%2C1&page=1&start=0&limit=25 | SQL: SELECT `grade` FROM `class` GROUP BY grade  [ RunTime:0.000422s ]
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.000881s ]
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000984s ]
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000580s ]
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000657s ]
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `class` [ RunTime:0.003303s ]
[ 2013-04-21T13:36:58+08:00 ] /attendance/teacher.php/Lib/getSeatFamily?_dc=1366522618662&query=3%2C2012%2C1%2C2009&page=1&start=0&limit=25 | SQL: SELECT `class`.`familyid`, `family`.`name` AS `familyname`, `family`.`id` AS `familyid`, `class`.`grade` FROM `class` LEFT JOIN `family` ON `family`.`id`=`class`.`familyid` WHERE `class`.`grade`=2009 GROUP BY `class`.`familyid` [ RunTime:0.000519s ]
[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
