[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010022s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010086s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000819s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000776s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000666s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000843s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003227s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001055s ]
[ 2013-04-03T10:38:08+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001105s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001224s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001288s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001853s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001915s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009278s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009591s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.001191s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000836s ]
